name,province,province_name,website,software,category,final_url,error
St. Stephen Aquatic Club,,,https://ssac.poolq.net,PoolQ,Swim-specific,https://ssac.poolq.net/,
Saint John Fundy Aquatic Club,NB,New Brunswick,https://tide.poolq.net,PoolQ,Swim-specific,https://tide.poolq.net/,
Club Campbellton Aquatika Club,,,https://aqua.poolq.net,PoolQ,Swim-specific,https://aqua.poolq.net/,
Bathurst BLAST,NB,New Brunswick,https://www.bathurstblast.ca,PoolQ,Swim-specific,https://www.bathurstblast.ca/,
Club de natation de Shippagan,NB,New Brunswick,,No Website,No Website,,
Les Espadons,NB,New Brunswick,https://www.lesespadons.com,Unknown / Custom,Unknown / Custom,https://ccrcnm.org/,
Les Octopus Caraquet,NB,New Brunswick,,No Website,No Website,,
Natation Edmundston Swimming,NB,New Brunswick,https://www.clubnes.org,PoolQ,Swim-specific,https://www.clubnes.org/,
Melfort Marlins Swim Club,,,https://melfortmarlins.wixsite.com/mmsst,Wix,CMS / Website builder,https://melfortmarlins.wixsite.com/mmsst,
Nipawin Lions Speed Swim Club,,,,No Website,No Website,,
Prince Albert Sharks Swim Club,SK,Saskatchewan,,No Website,No Website,,
Yorkton Storm Swim Club,SK,Saskatchewan,https://www.yorktonstormswimclub.com,TeamLinkt,Sports management,https://www.yorktonstormswimclub.com/yorktonstormswimclub2/,
Humboldt Hammerheads Swim Team,SK,Saskatchewan,,No Website,No Website,,
Watrous Whitecaps Swim Club,SK,Saskatchewan,,No Website,No Website,,
Flatland Sport,SK,Saskatchewan,https://www.gomotionapp.com/team/canskfs/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canskfs/page/home,
Regina Marlins Swim Club,SK,Saskatchewan,https://www.reginamarlins.com/page/home,GoMotion,Swim-specific,https://www.reginamarlins.com/page/home,
Regina Masters Swim Club,SK,Saskatchewan,https://www.gomotionapp.com/team/skrmsc/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/skrmsc/page/home,
Regina Optimist Dolphin Swim Team,SK,Saskatchewan,https://reginadolphins.com,GoMotion,Swim-specific,https://www.reginadolphins.com/page/home,
Regina Piranhas Summer Swim Club,,,https://www.reginapiranhas.com,Google Sites,CMS / Website builder,https://www.reginapiranhas.com/,
University Of Regina Cougar Swimming,SK,Saskatchewan,https://cougarsandrams.com/sports/swimming-and-diving,TeamUnify,Swim-specific,https://cougarsandrams.com/sports/swimming-and-diving,
Battlefords Kinsmen Orcas Swim Club,SK,Saskatchewan,https://www.battlefordsorcas.com,Active Network,Sports management,https://www.battlefordsorcas.com/,
Elrose Prairie Speed Swim Club,SK,Saskatchewan,,No Website,No Website,,
Kindersley Swim Club,,,,No Website,No Website,,
Manta Ray Swim Club,SK,Saskatchewan,,No Website,No Website,,
Rosetown Royals Speed Swim Team,SK,Saskatchewan,,No Website,No Website,,
Saskatoon Goldfins Swim Club,SK,Saskatchewan,https://goldfins.ca,PoolQ,Swim-specific,https://goldfins.ca/,
Saskatoon Laser Swim Club,SK,Saskatchewan,https://laserswimming.ca,PoolQ,Swim-specific,https://laserswimming.ca/,
Saskatoon Sharks Summer Swim Club,SK,Saskatchewan,https://saskatoonsharks.com,GoDaddy Website Builder,CMS / Website builder,https://saskatoonsharks.com/,
Estevan Golden Eels Summer Swim Club,,,,No Website,No Website,,
Oxbow Seawolves Aquatic Club,,,,No Website,No Website,,
Rocanville Tiger Sharks Summer Swim Club,,,,No Website,No Website,,
Weyburn Silver Seals Swim Club,,,,No Website,No Website,,
Moose Jaw Kinsmen Flying Fins,SK,Saskatchewan,https://www.gomotionapp.com/team/canmjkff/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canmjkff/page/home,
Swift Current ACT Stingrays Swim Club,SK,Saskatchewan,https://swiftcurrentstingr.wixsite.com/act-swift-stingray-1,Wix,CMS / Website builder,https://swiftcurrentstingr.wixsite.com/act-swift-stingray-1,
Swift Current Barracudas,SK,Saskatchewan,,No Website,No Website,,
Ajax Aquatic Club,ON,Ontario,https://ajaxaquaticclub.com,GoDaddy Website Builder,CMS / Website builder,https://ajaxaquaticclub.com/,
Acton Aqua Ducks,ON,Ontario,https://www.actonaquaducks.ca,Unknown / Custom,Unknown / Custom,https://www.actonaquaducks.ca/,
Swim Apex Aquatic Club,ON,Ontario,https://www.swimapex.com,iClass Pro,Sports management,https://swimapex.com/,
Blue Waves Swim Club,ON,Ontario,https://www.bluewaves.club,Wix,CMS / Website builder,https://www.bluewaves.club/,
Cobra Swim Club,ON,Ontario,https://www.gomotionapp.com/team/cancobra/page/home,GoMotion,Swim-specific,https://www.cobraswimclub.com/page/home,
Crest Swimming,ON,Ontario,https://www.crestswimming.ca,GoMotion,Swim-specific,https://www.crestswimming.ca/page/home,
Aurora Ducks Swimming Club,ON,Ontario,https://www.gomotionapp.com/team/canducks/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canducks/page/home,
Etobicoke Swim Club,ON,Ontario,https://eswim.ca,GoMotion,Swim-specific,https://www.eswim.ca/page/home,
Granite Gators,ON,Ontario,,No Website,No Website,,
Georgina Rapids Aquatic Club,ON,Ontario,https://www.georginarapids.ca,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cangrac/page/home,
Halton Hills Blue Fins,ON,Ontario,https://www.haltonhillsbluefins.com,Unknown / Custom,Unknown / Custom,https://www.haltonhillsbluefins.com/,
J-Dolphins Swim School,ON,Ontario,https://www.jdolphins.ca,Squarespace,CMS / Website builder,https://www.jdolphins.ca/,
Lakeshore Swim Club,ON,Ontario,https://lakeshoreswimclub.com,PoolQ,Swim-specific,https://lakeshoreswimclub.com/,
Markham Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/canmac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canmac/page/home,
Markovs Aquatic Swimming Club,ON,Ontario,https://markovaquatics.com,WordPress,CMS / Website builder,https://markovaquatics.com/,
Mississauga Aquatic Club,ON,Ontario,https://mississaugaswimming.com,GoMotion,Swim-specific,https://www.gomotionapp.com/team/onmac/page/home,
Northumberland Aquatic Club,ON,Ontario,,No Website,No Website,,
Niki Swimming School,ON,Ontario,,No Website,No Website,,
New Stars Swimming Club,ON,Ontario,https://www.newstarsswimmingclub.com/page/home,GoMotion,Swim-specific,https://www.newstarsswimmingclub.com/page/home,
North York Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/cannyac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/cannyac/page/home,
Oakville Aquatic Club,ON,Ontario,https://www.oakvilleaquatics.ca,GoMotion,Swim-specific,https://www.oakvilleaquatics.ca/page/home,
Officials Registration ON,ON,Ontario,,No Website,No Website,,
Oshawa Aquatic Club,ON,Ontario,https://www.gomotionapp.com/team/canoac/page/home,GoMotion,Swim-specific,https://www.gomotionapp.com/team/canoac/page/home,
Pickering Swim Club,ON,Ontario,https://www.pickswimclub.com,Error,Error,https://www.pickswimclub.com,"HTTPConnectionPool(host='www.teamunify.com', port=80): Read timed out. (read timeout=12)"
Ramac Aquatic Club,ON,Ontario,https://ramac.ca,Unknown / Custom,Unknown / Custom,https://ramac.ca/,
